title,description,genres
Athadu,"A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.","['Action', 'Crime', 'Drama']"
Krack,"Krack is an action film which follows Veera Shankar, a hot headed police sergeant, who forms a vicious rivalry with notorious crime figure, Katari Krishna.","['Action', 'Crime', 'Thriller']"
One Piece: Baron Omatsuri and the Secret Island,"The Straw Hat Pirates received an advertisement on a recreational island. The offers all looked promising, so they sailed to the island for an opportunity to kick back and relax from their ... See full summary »","['Animation', 'Action', 'Adventure']"
Operation Sundarbans,"Bangladesh's first wildlife action thriller film based on RAB's adventures in the Sundarbans. Starring Siam, Riaz, Nusraat Faria, Shatabdi Wadud, Roshan, Taskeen, Rawnok Hasan, Manoj Paramanik, Directed by Dipankar Dipon.","['Action', 'Thriller']"
Sivakaasi,"Muthappa runs away from his hometown because of his brother. Years later , he returns to his hometown and found out that his brother ruined his family. He decides to take revenge.","['Action', 'Drama']"
Wonderful Days,2142: Pollution and climate change wiped out most of Earth's population. Ecoban city is built to withstand this. Suppression results in revolt. A childhood couple find each other as adults on opposing sides.,"['Animation', 'Action', 'Adventure']"
Connected,A man receives a distressing phone call from a woman who has been kidnapped.,"['Action', 'Adventure', 'Crime']"
Baby Money,"When a home invasion turns into a bloody shoot-out, a pair of ragtag fugitives take refuge in the house of a single mother as they wait on their fiery (and very pregnant) getaway driver to hatch an escape plan in time for a major payday.","['Action', 'Thriller']"
Ramayya Vastavayya,Nandu a happy go lucky boy falls in love with Akarsha (Samantha) only to avenge his fiance's death.,"['Action', 'Drama']"
Knight Rider,Feature film based on the 1982 TV series of the same name about a lone crime fighter battling the forces of evil with the help of his indestructible and artificially intelligent car.,"['Action', 'Crime', 'Sci-Fi']"
Nallamala,"A Beast - Like Human Has Entered into the Nallamala Forests at a time, when the people of India have got ridden of slavery and are rejoicing the long-awaited freedom, what happened in the ... See full summary »","['Action', 'Drama', 'History']"
Ghost in the Shell: Arise - Border 1: Ghost Pain,"In this prequel set one year after the fourth World War, cyborg and hacker extraordinaire Motoko Kusanagi from the military's 501st Secret Unit finds herself wrapped up in the investigation of a devastating bombing.","['Animation', 'Action', 'Sci-Fi']"
The Lost Princess,"After an Ayahuasca vision transports him to a haunted castle, Alec meets Hanna who tales him the story of her mother's forced marriage and how the forbidden passion with her father was in danger when the princess pregnancy became obvious","['Action', 'Adventure']"
Dark Asset,"A charming guy attempts to pick up a woman in a bar by spinning a tale involving spies, implanted microchips and the dangerous military scientist hunting him.","['Action', 'Thriller']"
Jeon Woochi,"Jeon Woo-chi, an undisciplined womanizing Taoist from the Joseon era, ends up in present-day Korea causing mayhem with his knack for magic.","['Action', 'Adventure', 'Comedy']"
Legion of Iron,"Billy Hamilton, high-school football star, and his girlfriend, Allyson, are kidnapped from Lover's Lane by a pair of armed men who helicopter them to an underground location hidden out in ... See full summary »","['Action', 'Horror', 'Sci-Fi']"
Black and White,"Thriller starring Gina Gershon as hard-edged, experienced cop Nora 'Hugs' Hugosian, who is assigned a new partner--rookie cop Chris O'Brien (Rory Cochrane)--to help her with the ... See full summary »","['Action', 'Mystery', 'Thriller']"
Special Mission Lady Chaplin,"Lady Chaplin is a beautiful woman, she is a fashion stylist and she owns an atelier in Paris. Zoltan is a rich American specialized in submarine researches. Dick Malloy is an American ... See full summary »","['Action', 'Adventure', 'Crime']"
Chariot,"A petty criminal discovers the Chariot, an advanced government super-car, which is possessed by the spy who last drove it who needs to complete her mission.","['Action', 'Sci-Fi', 'Thriller']"
Take Home Pay,"Two brothers; Alama and Popo, arrive for the first time in NZ as Seasonal Workers, making plenty of money to take back home to their family in Samoa. But things take a turn for the worst ... See full summary »","['Action', 'Comedy']"
Saving Mr. Wu,"Mr. Wu, a Hong Kong movie star, is kidnapped by four unpredictable criminals disguised as police officers. Will he get rescued?","['Action', 'Crime', 'Drama']"
The Tartars,Tartan and Viking forces clash in what is modern-day Russia.,"['Action', 'Adventure', 'Drama']"
Division 19,"2039: Anonymity/living off the grid is a crime. Punishment is ""disappearance"". Following the lives of convicts becomes entertainment on TV. A group of young men called Division 19 works against the system.","['Action', 'Sci-Fi', 'Thriller']"
The Maker,Josh is a high school guy who lives with adoptive parents and is involved in little crimes with his friends (including young lesbian Bella). Suddenly his elder brother Walter comes out of ... See full summary »,"['Action', 'Crime', 'Drama']"
Hatya,"After the deaths of his wife Sheila and child Raja, Sagar takes to drinking as well as singing and dancing at weddings and special occasions. Intoxicated heavily after one such event, he ... See full summary »","['Action', 'Crime', 'Drama']"
Thanda,The story involves people from different floors of a building handling different kinds of stories in every flat. Its the summer-time and everyone's suffering from the humid heat of Dhaka. ... See full summary »,"['Action', 'Comedy']"
Top Cat,"Top Cat and the gang face a new police chief, who is not at all happy with the poor Officer Dibble's performance trying to prevent Top Cat's scams.","['Animation', 'Action', 'Comedy']"
Three Giant Men,"Istanbul is being terrorized by a crime wave, and the police call in American superhero Captain America and Mexican wrestler Santo to put a stop to it.","['Action', 'Crime', 'Sci-Fi']"
Azaadi,Azaadi' is based on the story of a man (Nadeem Baig) who devoted his life for Kashmir cause and is now imparting his vision to the youth to keep the cause alive.,"['Action', 'Drama', 'Romance']"
Ghetto Blaster,"When Travis, middle-aged, working class man, returns home to visit his parents, he quickly learns that his hood is rife with criminal activity and gang warfare. Quickly, Travis finds ... See full summary »","['Action', 'Drama']"
Pickings,"When a short-tempered mobster and his gang of thugs try to shake down a neighborhood bar, they're soon confronted with the wrath of its owner - a mysterious southern mother with a dangerous past.","['Action', 'Crime', 'Drama']"
Hot Rod Girl,"After his kid brother is killed in a street race, a champion drag-racer quits racing. However, a new kid comes to town determined to force him back into racing so he can take his title--and he's already taken his girlfriend.","['Action', 'Drama', 'Romance']"
Super Stooges vs the Wonder Women,Three men with supernatural powers interfere in a tribal warfare to prevent evil Amazons destroying the inhabitants of a village.,"['Action', 'Adventure', 'Comedy']"
Five Golden Dragons,A naive young American playboy in Hong Kong finds himself caught up in the middle of an international crime.,"['Action', 'Adventure', 'Comedy']"
Pressure Point,"Deadly government assassin Sebastian Dellacourt botches a job and ends up in prison. His only way out is to do one final job and infiltrate a dangerous militia led by delusional Arno Taylor, who wants to overthrow the US government.","['Action', 'Drama', 'Thriller']"
Golgo 13,Golgo 13 is assigned to murder a man named Boss Goa.,"['Action', 'Crime', 'Thriller']"
Stunt Rock,"While working on a TV show in Los Angeles, famed Australian stuntman Grant Page helps an up-and-coming fantasy-themed rock band develop special effects and dangerous stunts for their act.","['Action', 'Drama', 'Music']"
Tarzan's Three Challenges,The spiritual leader of an oriental country is dying. The leader's evil brother is plotting to prevent the youthful heir from assuming his rightful position. Tarzan is summoned to protect him and he must face three tests of strength.,"['Action', 'Adventure']"
Beyond the Boundary Movie: I'll Be Here - Mirai-hen,Set one year later after the events of the anime series with an all new original story.,"['Animation', 'Action', 'Comedy']"
Quad X: The Porn Movie Massacre,A killer is stalking the actors of Quadruple X films and trying to get a cut of his favorite porn stars.,"['Action', 'Comedy', 'Horror']"
Caged No More,"Aggie Prejean is a godmother on a desperate search to find her two goddaughters, Skye and Elle, who have been kidnapped by their sinister father. As the details behind the girls' ... See full summary »","['Action', 'Drama', 'Thriller']"
My Sex Report: Intensities,A pink/roman porno with a yakuza character or two.,"['Action', 'Crime']"
Breaking News,"After a disastrous failure to stop a robber gang, the police attempt to redeem themselves through a series of publicity stunts and shootouts.","['Action', 'Crime', 'Drama']"
Midnight Family,"In Mexico City's wealthiest neighborhoods, the Ochoa family runs a private ambulance, competing with other for-profit EMTs for patients in need of urgent help.","['Documentary', 'Action', 'Crime']"
In Her Line of Fire,"When the Vice President's plane goes down near a remote Pacific island, he is kidnapped by rebel forces and held for ransom. It is up to his female Secret Service agent and a press secretary to infiltrate the camp and save him.","['Action', 'Drama']"
The Ultimate Weapon,"When mercenary ""Hardball"" Cutter discovers that the team he is working with is actually a group of IRA gunrunners, he decides to put a stop to their plans. Furious with Cutter, the gunrunners target him, his partner, and his family.",Action
Kids from Shaolin,Romance blossoms between two rival families practicing Shaolin and Wudang kungfu respectively. despite familial opposition - until they overcome a gang of scheming bandits together.,"['Action', 'Comedy']"
The Artist,"The Artist is an American comedy film directed by Screen International's ""Stars of the Future"" Jesse Lawrence. It tells the story of an upper-class commodities broker and two starving ... See full summary »","['Action', 'Comedy']"
Winning Streak,Three Spanish guys create a code to win money at the casinos.,"['Action', 'Drama']"
ZG80,Series of events leading to football fans war on the streets of Belgrade.,"['Action', 'Comedy', 'Sport']"
Corvette K-225,"The story of a Canadian WWII naval vessel, with a dramatic subplot concerning her first captain.","['Action', 'Drama', 'Romance']"
Bullet,A tough cop takes the law into his own hands when his grandson is kidnapped.,"['Action', 'Crime', 'Thriller']"
Vivegam,An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.,"['Action', 'Thriller']"
Irumbu Thirai,A soldier takes on a gang of cyber criminals when money goes missing from his account.,"['Action', 'Crime', 'Thriller']"
Vengeance,"A French chef swears revenge after a violent attack on his daughter's family in Macau, during which her husband and her two children are murdered. To help him find the killers, he hires three local hit-men working for the mafia.","['Action', 'Crime', 'Thriller']"
Jigarthanda,"An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.","['Action', 'Comedy', 'Crime']"
Bairavaa,"Bairavaa, a gallant debt collector, takes on a violent criminal masquerading as a philanthropist in the education field.","['Action', 'Thriller']"
7 Aum Arivu,A genetic engineering student tries to revive the skills of a past legend and use them to save India from a deadly virus attack orchestrated by China.,"['Action', 'Sci-Fi', 'Thriller']"
Kruty 1918,"Ukraine, 1918. As a Bolshevik army of about 4.000 men, commanded by General Muravyov, advances towards Kyiv, with the aim of capturing the city, a small Ukrainian unit of 400 soldiers -... See full summary »","['Action', 'Drama', 'History']"
Abducted,"After his young daughter is kidnapped, a war hero takes matters into his own hands while detectives unravel the mystery surrounding the unusual crime.","['Action', 'Crime', 'Drama']"
Nowhere to Hide,"Marine officer Rob Cutter and his wife Barbara have a son named Johnny. Rob discovers that two newly delivered helicopters in his squadron have crashed because a defective part, a C-ring, ... See full summary »","['Action', 'Thriller']"
Born to Defense,"Jet, a young soldier at the end of the second World War must overcome some abusive Americans who are bullying him as well as the Chinese people.","['Action', 'War']"
Detroit 9000,"After a fundraiser for a black politician is robbed, Detroit police put two detectives, one white and one black, on the case, who try to work together under boiling political pressure.","['Action', 'Crime', 'Drama']"
Peking Express,A group of refugees fleeing Chinese Communist rule via train are beset by a gang of terrifying outlaws.,"['Action', 'Drama', 'Film-Noir']"
Man on a String,A US secret agent is sent to Berlin to pretend to be a spy for the USSR.,"['Action', 'Crime', 'Drama']"
The Fall of Ako Castle,"This is the story of ""The Forty-Seven Ronin."" Based on historical events in 1701-2, the movie tells the tale of the Asano clan's downfall and the revenge of its former samurai on the perpetrator of the catastrophe.","['Action', 'Adventure', 'Drama']"
The Invincible Armour,"A corrupt official frames a man for murder. The man studies a martial arts style that makes his body as strong as iron, so he can counter the official's own incredible fighting skills.","['Action', 'Drama']"
Downhill,"After his best friend dies in a racing accident, biking star Joe agrees to go back on the wheels for an exhibition in Chile. On a test run with his girlfriend Stephanie, they stumble upon a badly injured man dying from a mysterious virus. That's the start of a very bad day for them as they become the target of relentless killers ready to do anything to keep their secret to go out of the mountains.","['Action', 'Horror', 'Sport']"
Kerala Varma Pazhassi Raja,"Kerala Varma Pazhassi Raja is a 2009 Malayalam historical drama film based on the life of Pazhassi Raja, a Hindu king who fought against the British in the 18th century.","['Action', 'Biography', 'Drama']"
The City of Violence,"After their childhood friend is murdered, a two-man martial arts army beats a path to the perp.",Action
We're Going to Eat You,"A secret agent investigates a village that is populated by crazed, inbred cannibals.","['Action', 'Comedy', 'Horror']"
Troubleshooters,"The day he is released from jail, Serge is expected by four killers sent by Count Charles Varèse assigned to make him confess where he has hidden the jewels stolen during his last stickup. ... See full summary »","['Action', 'Comedy', 'Crime']"
The New Adventures of Tarzan,"Tarzan goes to Guatemala to find his lost friend, D'Arnot. On the way he helps Major Matling search Mayan ruins for hidden jewels and an idol containing the formula for a powerful explosive.","['Action', 'Adventure', 'Crime']"
Dracula: The Impaler,"Seven high-school friends begin their Euro-trip at the actual castle of Vlad the Impaler where he supposedly sold his soul to the devil over 500 years earlier, but the decrepit castle's past envelopes them in a bloody ritual.","['Action', 'Horror', 'Thriller']"
Death Warrior,"Five of the best mixed martial arts champions from around the world are forced to play a deadly game, a game to the death.","['Action', 'Drama', 'Horror']"
K-Pop: Demon Hunters,A Korean music group leads a secret life as demon hunters.,"['Animation', 'Action', 'Adventure']"
Blue Tornado,"While experimenting with a new flight maneuver, Colonel Alex Long and Phil encounter a mysterious light over a mountain range. Phil becomes transfixed, flies into the light and disappears. ... See full summary »","['Action', 'Sci-Fi', 'Thriller']"
Deep Dark Canyon,"After a hunting accident leaves the town mayor dead, teenage brothers Nate and Skylar go on the run from the mayor's family, who have declared open season on them.","['Action', 'Drama', 'Thriller']"
Slammed,Best pals enlist the aid of their idol and sexy gals as they pursue their dream of wrestling on the illegal bar circuit.,"['Action', 'Comedy', 'Romance']"
The Division,"In the 90s, Rio de Janeiro was shaken by a wave of kidnappings. Security forces call controversial agents to help save the city from thugs and also from the police itself.","['Action', 'Crime', 'Thriller']"
Washington's Armor,Follows the trajectory of George Washington as a boy and a young man as he develops his relationships and ideals.,"['Action', 'Drama', 'History']"
The Vengeance of Fu Manchu,"In his remote Asian hideaway, the evil Fu Manchu plots the death and discredit of his archrival, Inspector Nayland Smith of Scotland Yard, as the first step in his plan to become leader of the world's most terrible criminals.","['Action', 'Crime', 'Drama']"
Twice a Judas,"Luke Barret loses his memory after a bullet grazed his head in a shoot-out in the wild West. Trying to discover the man who tried to kill him, he will discover he is a paid gunman too, and terrible truths about his family.","['Action', 'Drama', 'Mystery']"
Plurality,A man who wakes up from a coma to find himself uploaded with the minds of four dead serial-murder suspects. These hold the only clues for the police to track down the last surviving victim.,"['Action', 'Sci-Fi', 'Thriller']"
Vijay,Vijay is a story about people that are bound by relationships of love and friendship and how they become foes and take up weapons against each other.,"['Action', 'Drama', 'Romance']"
Myn Bala: Warriors of the Steppe,"A universal story about the freedom of the human spirit and the struggle against slavery and despotism, about love, loss and betrayal. It is seen through the eyes of simple Kazakh kids and teenagers.","['Action', 'Adventure', 'Drama']"
Tarkan and the Blood of the Vikings,"TARKAN VERSUS THE VIKINGS features a mustached villain, who is the leader of a Viking clan that worships an octopus god-monster. The Vikings wish to kidnap a beautiful girl to sacrifice her... See full summary »","['Action', 'Adventure', 'Fantasy']"
4Got10,"A drug deal goes bad, leaving bodies. A sheriff shoots his deputy for the money and a wounded amnesiac shoots the sheriff and escapes with $3,000,000. DEA investigates as does the drug lord dad of the dead deputy.","['Action', 'Crime', 'Thriller']"
Bob the Builder: Mega Machines,Bob and his team get together with the Mega Machines to build a new dam and reservoir for Spring City - but are they up to this mega challenge?,"['Animation', 'Action', 'Adventure']"
Pitbull,"When an explosive plant at a gas station kills a police sapper, the chief police officer assigns Gebels from the homicide unit to the case. The investigation leads him to the trail of a ... See full summary »","['Action', 'Crime', 'Drama']"
Kranti,The story of India's freedom struggle between the years 1825 and 1875.,"['Action', 'Adventure', 'Drama']"
Day Zero,"When society breaks down due to a violent outbreak that turns victims into undead monsters, a former elite soldier breaks out of jail to find his family.","['Action', 'Horror']"
On the Job,Inspired by a real-life scandal in which prison inmates are temporarily released from prison to work as contract killers on behalf of politicians and high ranking military officials.,"['Action', 'Crime', 'Drama']"
Mobile Suit Gundam: Cucuruz Doan's Island,"After Jaburo, the EFF plan an operation to capture Odessa, headquarters of Zeon's Attack Force. White Base heads to Belfast to resupply. However, White Base receives new orders; to head to an island known as the ""Island of No Return"".","['Animation', 'Action', 'Drama']"
Big Man Japan,An eccentric man living alone in a decrepit house in Tokyo periodically transforms into a 100-foot tall giant in order to defend Japan against similarly sized monsters.,"['Action', 'Comedy', 'Sci-Fi']"
Rishtey,Suraj Singh (Anil Kapoor) is in love with the beautiful and wealthy Komal (Karisma Kapoor). They dream of their perfect family together but her arrogant father Yashpal Chaudhary (Amrish ... See full summary »,"['Action', 'Drama', 'Romance']"
Epicenter,A detective assigned to transport a dangerous mobster discovers that she has been set-up to fail.,"['Action', 'Adventure', 'Crime']"
God of Gamblers 3: The Early Stage,Following Ko Chun's earlier years as he battles for the position he was destined for: The God of Gamblers.,"['Action', 'Drama']"
Bang!,"A terrorist cult sets out to kick off the apocalypse with a series of novels designed to brainwash their readers, but the world's most notorious spy is sent to track down and kill the author responsible.","['Action', 'Thriller']"
Snowbound,During the biggest snow storm on record a father and son find forgiveness for each other.,Action
The Battle of El Alamein,World war two drama about the 1942 North Africa battle at El Alamein between the Allies and the Axis forces.,"['Action', 'Drama', 'History']"
Apache Drums,"A gambler is thrown out of a western town, but returns when the town is suddenly threatened by a band of marauding Apaches.","['Action', 'Adventure', 'Drama']"
Legend,"Krishna, Who Lives In Dubai, Falls In Love With Sneha. He Comes To India To Seek The Blessings Of His Grandmother, Unaware That Don Jeetendra's Gang Is Seeking Revenge.","['Action', 'Drama']"
Days Gone,"Based on the video game 'Days Gone', follows Deacon St. John, a former motorcycle club member who fights to survive and find the long lost, presumed dead, love of his life, after a devastating global pandemic.","['Action', 'Adventure', 'Drama']"
The Corsican File,"Rémi François is a detective who is hired to find Ange Leoni, a Corsican who apparently has inherited a 2 million euros house.","['Action', 'Comedy', 'Crime']"
Shaker Run,"With the accidental discovery of a lethal bio-agent at her research facility, Dr. Christine Ruben decides to double cross her own government by stealing the deadly formula to keep it out of... See full summary »","['Action', 'Drama']"
Beyond the Blue Horizon,"A circus lion tamer, his girlfriend, a publicist and a professor travel to the Malayan jungle to find proof to the claim that a beautiful woman raised there might be the rightful heiress to an American family's fortune.","['Action', 'Adventure', 'Comedy']"
Chandu the Magician,"When delusional madman Roxor kidnaps a scientist in hopes of using his death ray to achieve world dominance, he is opposed by Chandu, a powerful hypnotist and yogi.","['Action', 'Adventure', 'Comedy']"
S.A.S. San Salvador,"Enrique Chacon kills Oscar Romero, a Catholic archbishop in San Salvador. The CIA calls a special agent, Malko Linge, a ruined prince who lives with an expensive woman - Countess Alexandra ... See full summary »","['Action', 'Thriller']"
The Ninja Mission,"Swedish scientist named Karl Markov is taken hostage by the KGB. After his daughter Nadia is also kidnapped and brought deep into the heart of Russia, a group of highly trained ninjas, led ... See full summary »","['Action', 'Drama']"
Love on Delivery,"To prove himself to a love interest, a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight.","['Action', 'Comedy', 'Romance']"
Anjathe,Sathya and Kiruba are friends. Sathya is reckless and gets into drinking and violent fights whereas Kiruba studies hard to become a Sub-Inspector. Tables are turned when Sathya becomes a Sub-Inspector.,"['Action', 'Drama', 'Thriller']"
Executor,"A ruthless assassin, trained to kill in the name of God by a corrupt priest, re-evaluates his life purpose after saving a little boy from one of his own assassination attempts.","['Action', 'Drama']"
Mercy Christmas,"When Michael Briskett meets the perfect woman, his ideal Christmas dream comes true when she invites him to her family's holiday celebration. Dreams shattered, Michael struggles to survive once he realizes HE will be Christmas dinner.","['Action', 'Comedy', 'Horror']"
Death Match,"A kickboxing champ and a reporter are searching for a missing man, but they turn up a series of illegal kickboxing matches run by an arms dealer.","['Action', 'Drama']"
Rurouni Kenshin: Requiem for the Ishin Patriots,The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Takimi Shigure watched his friends and family get cut down in the name of ... See full summary »,"['Animation', 'Action', 'Drama']"
"Sanshiro Sugata, Part Two",Sugata returns to prove his judo mastery in a match against Western opponents.,"['Action', 'Adventure', 'Drama']"
Silver Dream Racer,Nick Freeman is a talented motorcycle racer but lacks a decent bike. Then his brother dies and Nick is left the bike he spent the last three years developing. The bike is revolutionary and Nick sees a way to pursue his dream.,"['Action', 'Drama', 'Sport']"
Atlantis,"When tomboy taxi-driver Ra'ida's rebellious younger brother Marid goes missing, she turns to her powerful family for help. She is determined to find out who killed her brother and ensure justice, above all, prevails.","['Action', 'Crime', 'Drama']"
Any Gun Can Play,A gang robs a gold shipment from a train. A so called bounty hunter is sent to track down the robbers and decides to let them lead him to the gold.,"['Action', 'Adventure', 'Western']"
Apocalypse Z,A team of soldiers who are assembled to help end a zombie outbreak in a Romanian town.,"['Action', 'Horror', 'Sci-Fi']"
Kolaigaran,"A man on a murder spree meets his match in a brilliant police officer, and a cat-and-mouse game ensues.","['Action', 'Crime', 'Drama']"
Sacrifice,A tough undercover cop inadvertently gets involved in a dangerous heroin ring when a young defector of the drug trade leaves his five year-old sister in his care.,"['Action', 'Thriller']"
Ang panday,"Panday is a blacksmith whose real name is Flavio. When a meteor fell from the sky one night, he forged the metal from the meteor into a dagger, the balaraw. When he raises the dagger to the... See full summary »","['Action', 'Fantasy', 'Horror']"
Kommando Leopard,"A cruel dictator rules a Latin American state. Corruption, brutality and exploitation are present every day. A few people begin to organise resistance. Under the leader ""El Leopardo"" a ... See full summary »",Action
Chatrapathi,"It centers on a man named Shivaji, who becomes the messiah of the people of a small hamlet where he grew up.","['Action', 'Drama']"
Desh Premee,"Master Dinanath is an ex-freedom fighter. When he gets Thakur Pratap Singh arrested for arms smuggling, he has Master's wife Bharati and young daughter Priti kidnapped and also turns his ... See full summary »","['Action', 'Comedy', 'Drama']"
Dynamite Warrior,The story is set in 1890s Siam. Siang (Dan Chupong) is a young Muay Thai warrior and rocketry expert who steals back water buffalo taken from poor Isan farmers by unscrupulous cattle ... See full summary »,"['Action', 'Comedy', 'Thriller']"
Blackie the Pirate,Captain Blackie conceives a plan to acquire a shipment of Spanish gold after he discovers about it when he stumbles upon Don Pedro. Three other pirate captains want the gold for themselves and try to foil Blackie's plan.,"['Comedy', 'Action', 'Adventure']"
Kill Speed,"Best friends fly home-built, high-tech planes to deliver drugs from Mexico to California in order to fund their Hollywood life-style.","['Action', 'Crime', 'Thriller']"
Gandharwa,Gandharwa is a unique story of a person who met with a incident which have changed his life and lost his identity . His Fight with Himself is great. They are much more surprising elements in Gandharwa.,"['Action', 'Drama', 'Thriller']"
Street of No Return,"A rock star-turned-bum, his vocal chords severed at the height of his career for the love of a woman, reclaims his forgotten past after viewing a music video and seeks revenge against the mobster who maimed him.","['Action', 'Drama', 'Crime']"
Badmaash No.1,"Amrish Puri stars in and as ""Badmash no. 1"". Ranjeet Singh is a devil minded person who simply knows how to take unfair and undue advantage of any given situation, and therefore he is notorious for being ""Badmash no. 1"".",Action
Nobody's Perfect,"A younger woman meets the man of her dreams with the perfect lifestyle and image. Once they get married, her perfect dream turns into a nightmare.","['Action', 'Drama', 'Romance']"
PSV Garuda Vega,"A hacker tries to sell sensitive data related to a scam and an NIA officer accidentally gets involved, saving him from getting killed.","['Action', 'Drama']"
Alive or Preferably Dead,"Two brothers, Monty and Ted, will inherit $300,000 if they manage to live together for six months.","['Action', 'Comedy', 'Western']"
Kasablanka,"In the context of the excitement and suspense, the film revolves around three friends (Omar al-Murr, Orabi and Rashid) who form a gang to rob the ships. They are charged with a dangerous ... See full summary »","['Action', 'Thriller']"
Shadowless Sword,"So-ha, a deadly female warrior, is sent to find a exiled prince after the Killer Blade Army killed the royal family.","['Action', 'Adventure', 'History']"
Dead Ringer,This movie is a modern day version of The Prince And The Pauper where one man from a poor background ends up taking over another man's life from the entirely opposite end of the spectrum.,Action
Minesweeper,"After deserting from the U.S. Navy in the 1930s, an officer re-enlists under a fake name after Pearl Harbor and serves on a minesweeper.","['Action', 'Adventure', 'Comedy']"
King of Crime,"When the biggest player in British cyber-crime faces destruction by some deadly serious Islamic extremists, he knows it's time to settle old scores and play the biggest scam of his life - before bailing out fast.","['Action', 'Crime', 'Drama']"
Last Platoon,"After ex-cop and highly decorated war hero Chet Costa's Vietnamese girlfriend disappears, he accepts a risky mission: he shall blow up a bridge at the Vietnamese border to close the ... See full summary »","['Action', 'War']"
The Big Wheel,"A brash young midget car race driver lives in the shadow of his famous father, a drunken womanizer, who was killed in an accident years earlier.","['Action', 'Drama', 'Romance']"
Devarattam,A lawyer ends up killing the son of a gangster and the latter swears revenge.,"['Action', 'Drama']"
Aadi,"Aadi Keshava Reddy, a youngster, returns to his homeland after 14 years to take revenge on Nagi Reddy who killed his family.","['Action', 'Drama', 'Romance']"
Arion,Arion begins with his journey to discover a world of poverty and horror where ordinary people are barely surviving through the war. He falls in love with a blind slave girl who is then ... See full summary »,"['Animation', 'Action', 'Adventure']"
Identity Theft,"After winning 50 million dollars in the lottery, Matt Walker thought that he'd found the perfect woman one evening when he met Karen Bristol...she was smart, gorgeous and wanted him for his... See full summary »","['Action', 'Comedy', 'Fantasy']"
Mumbai Se Aaya Mera Dost,"Dina Nath is honored by the Indian Government, which is televised live. While receiving the honors, Dina Nath informs the Government that his village is still without electricity, and he is... See full summary »","['Action', 'Comedy', 'Drama']"
4 Kings,"Inspired by the real story of the conflict between the student from four different technician colleges in the 90s, where violence can be used to build friendships and enemies at the same time.","['Action', 'Crime', 'Drama']"
Bride of the Werewolf,"After two women are attacked on a desolate road, they take refuge at the home of a kind-hearted stranger named Saul who harbors the dark secret of lycanthropy.","['Action', 'Horror', 'Thriller']"
Macross Plus Movie Edition,Movie compilation edition of the acclaimed OVA.,"['Animation', 'Action', 'Drama']"
Orion's Belt,A group of seamen from Norway find a Soviet listening station and they become targets for both America and Russia. Another cold war takes place.,"['Action', 'Thriller']"
Northspur,"In a violent, post-pandemic world, a peace-loving man is forced on a desperate journey to find life-saving drugs for his wife - but to get them he must first help an ornery old man defend his cabin against all-comers.","['Action', 'Drama', 'Thriller']"
Swamp Zombies 2,"The hottest reality TV Show in the world, ""Lucky Stiffs"", is about to get even more hot. Contestants from all over the globe try to win big cash prizes and fame by competing on the show ... See full summary »","['Action', 'Comedy', 'Horror']"
Dus,Terrorist Mast Gul blows up Kashmir's Charar E Shariff mosque; Indian Army General sends undercover Captains Raja Sethi and Jeet Sharma to capture him and aide Nasheman from Afghanistan.,Action
Mega Man,The movie is based on the best-selling video game series developed by Capcom.,"['Action', 'Adventure', 'Sci-Fi']"
Hell's Half Acre,"An American woman goes to Hawaii to search for her husband, MIA since the war, but he's a fugitive from the law and involved in a private feud against his former crime syndicate partners.","['Action', 'Adventure', 'Crime']"
Dead Meat,"An infection spreads from slaughtered animals to humans, which causes the dead to rise and feed on the living.","['Action', 'Comedy', 'Horror']"
Mask the Kekkou: Reborn,Manga hero Kekko-Kamen appears once again in her iconic red mask and boots to battle the sadistic teachers and evil headmaster of the nations top prep school!,Action
Dhruva,"A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.","['Action', 'Crime', 'Thriller']"
Billy the Kid,"A bounty hunter from New Mexico and a gang of horsemen called ""Four of the Apocalypse"" set their sights on the town of Dogma.","['Action', 'Western']"
The Jerusalem File,"An American student starts working with his Arab colleague while putting all politics aside. However, is his colleague just a regular Joe? Set around the time of Arab-Israeli Six Day War.","['Action', 'Drama', 'Thriller']"
Simhadri,"Simhadri, a loyal servant in a landlord's house, also leads a secret life as Singamalai, a powerful leader in the state of Kerala.","['Action', 'Drama']"
The Unity of Heroes,"It tells the story of a generation of master Huang Feihong's calm and sagacious characteristics, and in the double worries of the provocation of Beiquan and the invasion of foreigners.",Action
The Human Race,"In THE HUMAN RACE a group of 80 people are ripped out of their daily lives and all re-appear in an undisclosed location. These people are from all walks of life: young and old, athletic and... See full summary »","['Action', 'Comedy', 'Horror']"
Sailor Moon R: The Movie: The Promise of the Rose,"Fiore, an old friend from Mamoru's lonely childhood who couldn't survive on Earth, returns with flowers he promised Mamoru. But, the evil flower Kisenian overpowered Fiore's weak mind and ... See full summary »","['Animation', 'Action', 'Comedy']"
